founder_id,founder_age,founder_gender,years_with_startup,founder_role,monthly_revenue_generated,work_life_balance_rating,venture_satisfaction,startup_performance_rating,funding_rounds_led,working_overtime,distance_from_investor_hub,education_background,personal_status,num_dependents,startup_stage,team_size_category,years_since_founding,remote_operations,leadership_scope,innovation_support,startup_reputation,founder_visibility,retention_status
63801,49,Female,30,Finance,6823.0,,High,Average,0,No,51,Bachelor’s Degree,Single,2.0,Mid,Medium,57.0,No,No,Yes,Excellent,High,Left
28400,32,Male,2,Education,4927.0,,,Average,0,No,28,Associate Degree,Married,1.0,Senior,Large,3.0,No,No,No,Fair,Low,Left
48044,42,Female,14,Technology,,,,Below Average,0,No,83,Associate Degree,Single,,Senior,,,Yes,No,No,Excellent,Medium,Stayed
57066,33,Male,5,Finance,8826.0,Fair,Medium,High,0,No,31,PhD,Single,1.0,Senior,Medium,20.0,Yes,No,No,Good,Low,Stayed
22496,24,Male,1,Technology,8337.0,,Very High,Below Average,2,Yes,93,Master’s Degree,Single,0.0,Entry,Medium,21.0,No,No,No,Good,Medium,Left
24271,46,Female,9,Education,4311.0,Good,Low,Average,0,Yes,73,Associate Degree,Single,3.0,Entry,Medium,84.0,Yes,No,No,Good,Low,Left
12206,22,Female,5,Education,5526.0,Fair,Very High,High,0,No,56,Master’s Degree,Married,3.0,Mid,Medium,23.0,No,No,No,Fair,Medium,Left
30831,46,Female,34,Education,4929.0,Good,High,Average,1,No,14,Bachelor’s Degree,Married,0.0,Mid,Small,111.0,Yes,No,No,Fair,Medium,Stayed
26760,57,Female,41,Healthcare,10126.0,Excellent,High,Average,1,Yes,32,PhD,Single,0.0,Senior,Medium,61.0,No,No,No,Fair,Medium,Stayed
40233,28,Female,2,Finance,11531.0,Poor,Very High,Average,0,Yes,99,High School,Married,0.0,Mid,Small,36.0,No,No,No,Poor,High,Left
42070,38,Female,2,Technology,8982.0,Fair,High,Average,1,Yes,73,Associate Degree,Married,1.0,Entry,Medium,25.0,No,No,No,Good,High,Left
17909,31,Male,11,Healthcare,6710.0,Good,High,Average,0,No,59,PhD,Single,1.0,Entry,Medium,57.0,No,No,No,Good,Low,Left
71707,23,Male,6,Technology,9031.0,Poor,Low,High,1,No,67,Associate Degree,Single,0.0,Mid,Large,12.0,Yes,Yes,No,Good,Medium,Stayed
73143,34,Male,11,Media,4894.0,Excellent,Low,Average,0,Yes,4,Bachelor’s Degree,Married,3.0,Entry,Medium,36.0,No,No,No,Fair,Medium,Left
35042,58,Female,14,Education,3875.0,Good,Very High,Average,0,No,78,High School,Married,4.0,Senior,Large,28.0,No,No,No,Poor,High,Stayed
40953,38,Female,29,Technology,11054.0,Fair,High,Average,2,No,48,Associate Degree,Married,4.0,Entry,Medium,50.0,Yes,No,No,Poor,Low,Stayed
50896,20,Male,2,Technology,9257.0,Good,High,Average,2,Yes,52,Bachelor’s Degree,Married,0.0,Senior,Medium,59.0,No,No,No,Good,Low,Stayed
43714,58,Female,3,Technology,8749.0,Fair,High,Average,1,Yes,11,Master’s Degree,Divorced,1.0,Entry,Small,77.0,No,No,No,Excellent,High,Left
10068,30,Female,17,Healthcare,5897.0,Fair,Medium,Average,0,No,62,Associate Degree,Single,2.0,Mid,Large,91.0,No,No,Yes,Good,Medium,Left
33068,58,Female,9,Healthcare,7001.0,Excellent,Very High,Average,1,No,95,Bachelor’s Degree,Single,0.0,Mid,Large,38.0,No,No,No,Fair,Low,Left
28987,26,Female,18,Finance,7838.0,Fair,Very High,Average,0,Yes,9,Bachelor’s Degree,Single,0.0,Entry,Large,43.0,No,No,No,Good,Low,Left
3400,32,Male,3,Healthcare,7589.0,Good,Medium,Low,2,No,39,Associate Degree,Married,0.0,Mid,Medium,65.0,No,No,No,Good,High,Left
49384,32,Male,17,Finance,8398.0,Good,Medium,Average,3,No,91,High School,Divorced,0.0,Mid,Small,27.0,No,No,No,Good,Low,Stayed
7035,31,Male,10,Education,5551.0,Good,High,Average,1,No,62,Associate Degree,Married,1.0,Entry,Medium,50.0,No,No,No,Good,Low,Left
69046,22,Male,5,Finance,6665.0,,Medium,Average,0,No,52,Master’s Degree,Divorced,0.0,Senior,Small,63.0,No,No,No,Good,Low,Left
30130,44,Male,25,Technology,9757.0,Good,High,Average,0,Yes,15,Associate Degree,Single,3.0,Entry,Medium,99.0,No,No,No,Poor,Medium,Stayed
10084,28,Male,4,Education,5461.0,Excellent,Very High,Average,0,Yes,17,PhD,Married,2.0,Senior,Medium,16.0,No,No,No,Good,Low,Stayed
38749,41,Female,15,Healthcare,8603.0,Good,Medium,Below Average,2,Yes,14,Master’s Degree,Married,1.0,Mid,Small,55.0,No,No,No,Good,Very High,Stayed
34364,55,Male,10,Finance,10055.0,Poor,Medium,Average,1,No,69,Associate Degree,Single,5.0,Entry,Medium,16.0,No,No,No,Poor,Low,Left
30217,52,Male,42,Technology,7357.0,,,High,1,Yes,61,Bachelor’s Degree,Married,,Entry,Medium,,No,No,No,Good,Low,Left
68302,36,Male,2,Education,4764.0,Fair,High,Average,1,Yes,44,Master’s Degree,Single,1.0,Mid,Medium,12.0,No,No,No,Good,Medium,Stayed
52757,35,Male,6,Technology,8123.0,,,Below Average,2,No,66,PhD,Single,,Mid,,,Yes,No,No,Fair,Medium,Left
58313,28,Male,8,Education,3825.0,Good,Low,High,0,No,44,Associate Degree,Single,3.0,Senior,Medium,36.0,Yes,No,Yes,Good,Medium,Stayed
20125,40,Male,14,Technology,7634.0,Poor,Medium,Average,0,No,1,Associate Degree,Divorced,3.0,Senior,Large,92.0,Yes,No,Yes,Fair,Very High,Stayed
69020,35,Male,8,Finance,12046.0,Good,Low,Average,0,No,41,Associate Degree,Married,0.0,Entry,Large,81.0,No,No,Yes,Fair,Medium,Left
11411,57,Female,12,Education,5353.0,Good,High,High,0,No,63,Bachelor’s Degree,Single,0.0,Mid,Medium,18.0,No,No,No,Good,Medium,Left
35085,30,Male,10,Education,4046.0,Fair,Low,Average,1,Yes,84,Associate Degree,Single,0.0,Senior,Small,13.0,No,Yes,No,Poor,High,Left
26858,25,Female,1,Healthcare,9653.0,Good,High,Low,2,Yes,49,Bachelor’s Degree,Divorced,3.0,Entry,Medium,39.0,No,No,Yes,Good,Very High,Left
29093,24,Male,11,Education,3721.0,,,Average,1,Yes,44,Master’s Degree,Divorced,,Mid,Medium,,Yes,No,No,Fair,Medium,Stayed
34657,46,Male,29,Finance,10325.0,,,Average,0,Yes,57,Associate Degree,Married,,Entry,Medium,,No,No,No,Fair,Medium,Stayed
3108,35,Female,25,Technology,8599.0,Good,Very High,High,2,No,1,Associate Degree,Single,1.0,Entry,Small,102.0,No,Yes,No,Good,High,Left
49953,57,Male,34,Media,6186.0,Good,High,Below Average,0,No,66,Bachelor’s Degree,Single,1.0,Mid,Small,94.0,No,No,No,Good,High,Left
17633,33,Female,21,Finance,9790.0,Good,Very High,High,1,No,51,Master’s Degree,Single,3.0,Entry,Large,90.0,No,No,No,Poor,High,Left
1249,57,Female,41,Media,5801.0,Good,Medium,Average,2,No,26,Master’s Degree,Divorced,2.0,Senior,Medium,50.0,No,No,No,Excellent,Medium,Stayed
19495,39,Female,26,Education,3703.0,Good,High,Below Average,0,No,77,Associate Degree,Married,5.0,Mid,Large,33.0,No,No,No,Good,Low,Stayed
17405,33,Male,12,Healthcare,9235.0,Good,High,Average,1,No,27,Associate Degree,Married,0.0,Mid,Small,14.0,Yes,No,No,Good,High,Stayed
17504,32,Female,2,Healthcare,8434.0,Good,Very High,Average,1,No,5,Associate Degree,Divorced,1.0,Mid,Medium,61.0,No,No,No,Good,Low,Left
29557,31,Male,19,Finance,7712.0,Fair,High,Average,0,No,61,PhD,Married,5.0,Senior,Small,72.0,No,No,No,Good,Low,Stayed
53466,33,Male,25,Healthcare,8612.0,,,Average,1,No,98,Bachelor’s Degree,Married,0.0,Senior,Medium,87.0,No,No,No,Fair,Medium,Stayed
39729,26,Male,3,Technology,9881.0,Good,High,Average,1,No,15,Master’s Degree,Divorced,0.0,Entry,Large,76.0,Yes,No,No,Good,Low,Stayed
54942,43,Male,15,Education,4829.0,Good,Medium,Average,0,Yes,34,High School,Single,0.0,Mid,Small,65.0,No,No,No,Fair,Medium,Left
64224,34,Male,25,Media,5509.0,Fair,Low,High,1,Yes,6,PhD,Married,2.0,Entry,Small,71.0,No,No,No,Fair,Medium,Left
34292,54,Male,21,Education,4689.0,,,Average,1,Yes,96,Bachelor’s Degree,Married,5.0,Senior,Large,24.0,No,No,No,Poor,Very High,Stayed
55907,48,Female,38,Media,5661.0,Fair,High,High,0,Yes,83,Associate Degree,Single,1.0,Mid,Small,46.0,No,No,No,Good,Medium,Left
52730,35,Male,27,Education,5348.0,Poor,High,Average,2,No,26,High School,Married,3.0,Entry,Large,46.0,No,No,Yes,Poor,Low,Left
69298,53,Female,21,Healthcare,6984.0,Fair,Medium,Below Average,0,No,65,Associate Degree,Single,0.0,Mid,Large,43.0,No,No,No,Poor,Low,Left
